gt,fid,group,tier,bed,id,canopy_area_sq_m,mNDVI_mean,mNDVI_median,mNDVI_max,cDSM_mean,cDSM_max,sDSM_median,mean_can_height,max_can_height,can_volume,date,count_thermal,mean_thermal,median_thermal,median.thermal.filtered.to.remove.poor.stands,stdev_thermal,min_thermal,max_thermal,name,entry.type,num,treatment
6,1651,south,19,49,1651,8.129121778,0.824162616,0.859141946,0.910016179,16.12911076,16.34758949,15.83703136,0.292079399,0.510558128,2.374349002,08-10-21,303,23.82890103,23.49564453,23.49564453,1.430185029,22.19689453,34.07833984,SER 118,MAGIC parent,6,control
50,1652,south,20,49,1652,11.34466704,0.711979902,NA,0.882009804,12.98792339,13.20965195,12.82003403,0.167889362,0.38961792,1.904648912,09-28-21,295,25.16967797,25.13775391,25.13775391,0.724107835,23.82658203,27.36703125,M1.65,MAGIC family 1,50,control
50,1652,south,20,49,1652,8.784886904,0.817428878,NA,0.915975094,16.02925521,16.29625702,15.78432083,0.244934377,0.511936188,2.151720798,08-24-21,305,33.96350013,33.61990234,33.61990234,1.400758751,32.45558594,42.97787109,M1.65,MAGIC family 1,50,control
50,1652,south,20,49,1652,0.49056236,0.65984084,0.671410769,0.809066653,14.77853588,14.79914761,14.77000237,0.008533511,0.029145241,0.004186219,07-06-21,NA,NA,NA,NA,NA,NA,NA,M1.65,MAGIC family 1,50,control
50,1652,south,20,49,1652,6.147213579,0.797342649,0.843209743,0.906470001,16.06214382,16.32360268,15.84310532,0.219038506,0.48049736,1.346476476,08-10-21,300,27.59203125,25.42819336,25.42819336,5.672905212,21.51716797,42.74396484,M1.65,MAGIC family 1,50,control
234,1653,south,21,49,1653,6.42925124,0.821027455,0.861013114,0.909631312,16.13096885,16.35249138,15.85426044,0.276708407,0.498230934,1.779027867,08-10-21,301,22.96696974,22.06589844,22.06589844,2.769039339,20.825,37.86267578,M6.60,MAGIC family 6,234,control
234,1653,south,21,49,1653,8.840097254,0.819891102,NA,0.915543318,16.03681951,16.29252052,15.79833984,0.238479667,0.494180679,2.108183446,08-24-21,314,33.78459619,33.42579102,33.42579102,1.241435772,32.47958984,43.14164063,M6.60,MAGIC family 6,234,control
234,1653,south,21,49,1653,0.36659831,0.627693042,0.627061069,0.764956295,14.78305074,14.79829979,14.77990818,0.003142559,0.018391609,0.001152057,07-06-21,NA,NA,NA,NA,NA,NA,NA,M6.60,MAGIC family 6,234,control
234,1653,south,21,49,1653,11.83060329,0.729350006,NA,0.896851778,12.98373322,13.19406033,12.84246159,0.141271636,0.35159874,1.671328685,09-28-21,310,25.56395571,25.04821289,25.04821289,1.236432144,23.97640625,29.46755859,M6.60,MAGIC family 6,234,control
98,1654,south,22,49,1654,8.81850607,0.643786214,NA,0.852933705,12.90572944,13.08643246,12.85548782,0.050241617,0.230944633,0.443056007,09-28-21,288,28.76926256,28.87473633,28.87473633,2.311124581,24.80023438,33.59326172,M2.118,MAGIC family 2,98,control
98,1654,south,22,49,1654,4.959470257,0.755937376,NA,0.889600635,15.92455266,16.15948868,15.80355263,0.121000028,0.35593605,0.60009604,08-24-21,293,39.15895185,36.97494141,36.97494141,5.224301874,33.47625,50.55878906,M2.118,MAGIC family 2,98,control
98,1654,south,22,49,1654,3.501397357,0.747264419,0.785692275,0.872952819,15.99009763,16.21102333,15.86090851,0.129189127,0.350114822,0.452342467,08-10-21,305,31.77307467,29.57007813,29.57007813,6.554659511,23.39978516,45.64511719,M2.118,MAGIC family 2,98,control
98,1654,south,22,49,1654,0.179939256,0.612883094,0.620781153,0.73652631,14.79270067,14.80438423,14.78540945,0.007291221,0.018974781,0.001311977,07-06-21,NA,NA,NA,NA,NA,NA,NA,M2.118,MAGIC family 2,98,control
